MSISDN,Topup date,Measure,Amount paid
0700125980,2022-10-03,1,49
0700186488,2022-10-03,1,99
0700253294,2022-10-03,1,199
0700310426,2022-10-03,1,199
0700359880,2022-10-03,1,199
0700420035,2022-10-03,1,0
0700629961,2022-10-03,1,100
0700651085,2022-10-03,2,100
0700726629,2022-10-03,1,149
0700958628,2022-10-03,1,99
0700968258,2022-10-03,1,199
0700990750,2022-10-03,1,100
0701422945,2022-10-03,1,99
0701423089,2022-10-03,1,99
0701424278,2022-10-03,1,149
0701431513,2022-10-03,3,"296,94"
0701438621,2022-10-03,1,99
0701445975,2022-10-03,1,99
0701448420,2022-10-03,1,149
0701449109,2022-10-03,1,199
0701450120,2022-10-03,2,249
0701455156,2022-10-03,1,100
0701456708,2022-10-03,1,99
0701461407,2022-10-03,1,799
0701469323,2022-10-03,1,99
0701469966,2022-10-03,1,100
0701474501,2022-10-03,1,99
0701475637,2022-10-03,2,"115,86"
0701476340,2022-10-03,1,199
0701476532,2022-10-03,1,149
0701481061,2022-10-03,1,99
0701483168,2022-10-03,1,99
0701486224,2022-10-03,1,199
0701490689,2022-10-03,2,348
0701493702,2022-10-03,1,100
0701494947,2022-10-03,1,349
0701495743,2022-10-03,1,249
0701496689,2022-10-03,4,259
0701496824,2022-10-03,1,300
0701564728,2022-10-03,1,199
0701865307,2022-10-03,2,10
0701871700,2022-10-03,1,99
0702014436,2022-10-03,1,299
0702032326,2022-10-03,1,99
0702095054,2022-10-03,1,99
0702105877,2022-10-03,1,99
0702122494,2022-10-03,1,99
0702126657,2022-10-03,1,99
0702208796,2022-10-03,1,299
0702239109,2022-10-03,2,398
0702277327,2022-10-03,3,109
0702299111,2022-10-03,2,150
0702356228,2022-10-03,1,99
0702357998,2022-10-03,2,10
0702365565,2022-10-03,1,49
0702426738,2022-10-03,1,99
0702439179,2022-10-03,1,249
0702450693,2022-10-03,1,99
0702454490,2022-10-03,1,299
0702490104,2022-10-03,1,49
0702502639,2022-10-03,2,10
0702516048,2022-10-03,1,100
0702519630,2022-10-03,1,99
0702536585,2022-10-03,1,149
0702537235,2022-10-03,1,0
0702537365,2022-10-03,1,199
0702538373,2022-10-03,1,100
0702555537,2022-10-03,1,300
0702556657,2022-10-03,2,10
0702591340,2022-10-03,1,300
0702700133,2022-10-03,1,99
0702724724,2022-10-03,1,149
0702733922,2022-10-03,1,99
0702765718,2022-10-03,1,199
0702766154,2022-10-03,1,99
0702800296,2022-10-03,2,10
0702810689,2022-10-03,1,199
0702834110,2022-10-03,1,199
0702893815,2022-10-03,1,149
0702913431,2022-10-03,1,249
0702920941,2022-10-03,1,99
0702943695,2022-10-03,1,99
0702951627,2022-10-03,1,249
0702971288,2022-10-03,1,99
0703013136,2022-10-03,1,149
0703026414,2022-10-03,1,449
0703036574,2022-10-03,1,49
0703042808,2022-10-03,1,149
0703043201,2022-10-03,1,49
0703057834,2022-10-03,1,99
0703066513,2022-10-03,1,99
0703081318,2022-10-03,1,99
0703088956,2022-10-03,1,0
0703099008,2022-10-03,1,99
0703113057,2022-10-03,1,99
0703133638,2022-10-03,1,100
0703134789,2022-10-03,1,300
0703143971,2022-10-03,1,199
0703156324,2022-10-03,1,199
0703169199,2022-10-03,2,0
0703171667,2022-10-03,1,99
0703182391,2022-10-03,1,100
0703186124,2022-10-03,1,49
0703195878,2022-10-03,2,99
0703196947,2022-10-03,1,449
0703206632,2022-10-03,1,0
0703213710,2022-10-03,1,100
0703226857,2022-10-03,1,0
0703231389,2022-10-03,1,300
0703233604,2022-10-03,1,149
0703235630,2022-10-03,1,100
0703249090,2022-10-03,1,349
0703252827,2022-10-03,1,99
0703259787,2022-10-03,1,49
0703275101,2022-10-03,1,99
0703277819,2022-10-03,1,149
0703284363,2022-10-03,1,49
0703294053,2022-10-03,1,300
0703341631,2022-10-03,1,99
0703347722,2022-10-03,1,149
0703348602,2022-10-03,1,100
0703351027,2022-10-03,1,99
0703351669,2022-10-03,1,300
0703383605,2022-10-03,2,10
0703388412,2022-10-03,1,49
0703393726,2022-10-03,1,99
0703408343,2022-10-03,1,100
0703414545,2022-10-03,1,99
0703436812,2022-10-03,1,49
0703442114,2022-10-03,1,0
0703444856,2022-10-03,1,99
0703445240,2022-10-03,1,99
0703486695,2022-10-03,1,249
0703494291,2022-10-03,1,49
0703495171,2022-10-03,1,149
0703516698,2022-10-03,1,349
0703519260,2022-10-03,1,100
0703524647,2022-10-03,1,99
0703571945,2022-10-03,1,100
0703584513,2022-10-03,1,149
0703607256,2022-10-03,1,299
0703613606,2022-10-03,1,99
0703616166,2022-10-03,1,99
0703625290,2022-10-03,1,299
0703634611,2022-10-03,1,199
0703665816,2022-10-03,1,149
0703669429,2022-10-03,1,99
0703700725,2022-10-03,1,799
0703706258,2022-10-03,1,99
0703736351,2022-10-03,1,99
0703802951,2022-10-03,1,0
0703816572,2022-10-03,1,99
0703829471,2022-10-03,1,99
0703897818,2022-10-03,1,99
0703936576,2022-10-03,1,99
0703968971,2022-10-03,1,300
0703985526,2022-10-03,4,208
0703988910,2022-10-03,1,49
0703989605,2022-10-03,1,99
0703990740,2022-10-03,1,149
0703991628,2022-10-03,1,99
0704008012,2022-10-03,1,99
0704041238,2022-10-03,1,300
0704047295,2022-10-03,1,99
0704050658,2022-10-03,1,300
0704066281,2022-10-03,1,99
0704096961,2022-10-03,1,99
0704214207,2022-10-03,1,99
0704228668,2022-10-03,1,249
0704229650,2022-10-03,1,299
0704241265,2022-10-03,1,99
0704247739,2022-10-03,1,149
0704264041,2022-10-03,2,10
0704386732,2022-10-03,1,199
0704404262,2022-10-03,1,99
0704411318,2022-10-03,1,99
0704429577,2022-10-03,1,149
0704446628,2022-10-03,1,299
0704463302,2022-10-03,1,199
0704466041,2022-10-03,1,99
0704524870,2022-10-03,1,149
0704559080,2022-10-03,1,199
0704588181,2022-10-03,1,100
0704594678,2022-10-03,1,99
0704611087,2022-10-03,1,100
0704616891,2022-10-03,1,299
